FieldMappingID	ReplicationID	IsForth	TrgFieldID	SrcFieldID	SrcExpression	
7965	281	Y	13346		LowDate ( MakeDateTime ([SCACMM] , [SCACDD] , [SCACYY] , [SCACCC] ) )
	
8018	282	Y	13399		MakeDateTime( MakeDateTime ("YYYYMMDD",[CZUDTE]), [CZUTIM])	
8031	284	Y	13412		MakeDateTime("MMDDYY",[MDCALD],[MDCACC])	
8035	284	Y	13416		MakeDateTime([MDCADD])	
8114	288	Y	13495		MakeDateTime([SLCTDT],[SLCTTM])	
8116	288	Y	13497		MakeDateTime([SLUPDT],[SLUPTM])	
8118	289	Y	13499		[!RecordID]	
8124	289	Y	13505		MakeDateTime("YYMMDD",[DTRDAT])	
8153	291	Y	13534		[!RecordID]	
8167	291	Y	13548		MakeDateTime([MPCRTD],[MPCRTT])	
8169	291	Y	13550		MakeDateTime([MPUPDD],[MPUPDT])	
8182	292	Y	13563		MakeDateTime([AWCDUE])	
8183	292	Y	13564		MakeDateTime([AWCSTR])	
8187	292	Y	13568		MakeDateTime([AWPDUE])	
8188	292	Y	13569		MakeDateTime([AWPSTR])	
8202	293	Y	13583		LowDate(MakeDateTime([TSDTTR],[TSTIME]))	
8218	294	Y	13599		MakeDateTime([RADATECRT],[RATIMECRT])	
8237	296	Y	13618		MakeDateTime([RCVDAT])	
8238	296	Y	13619		MakeDatetime([REQDAT])	
8239	296	Y	13620		MakeDateTime([COMDAT])	
8252	296	Y	13633		MakeDateTime([SYSDAT],[SYSTIM])	
8301	298	Y	13682		MakeDateTime([DTECRT])	
8335	298	Y	13716		MakeDateTime([PMCRTD],[PMCRTT])	
8336	298	Y	13717		MakeDateTime([PMUPDD],[PMUPDT])	
8340	299	Y	13721		MakeDateTime("YY",[WDSTMM],[WDSTDD],[WDSTYY])	
8341	299	Y	13722		MakeDateTime("YY",[WDACMM],[WDACDD],[WDACYY])	
8342	299	Y	13723		MakeDateTime("YY",[WDDUMM],[WDDUDD],[WDDUYY])	
8402	299	Y	13783		MakeDateTime([WDCRTD],[WDCRTT])	
8403	299	Y	13784		MakeDateTime([WDUPDD],[WDUPDT])	
8407	299	Y	13788		MakeDateTime(MakeDateTime("YYYYMMDD",[WDUDTE]), [WDUTIM])	
8418	300	Y	13799		MakeDateTime([SCCRTD],[SCCRTT])	
8419	300	Y	13800		MakeDateTime([SCUPDD], [SCUPDT])	
8427	301	Y	13808		MakeDateTime([WOCDT])	
8430	301	Y	13811		MakeDateTime([OCCRTD],[OCCRTT])	
8431	301	Y	13812		MakeDateTime([OCUPDD],[OCUPDT])	
8435	301	Y	13816		MakeDateTime([WOSTRTDT],[WOSTRTTM])	
8436	301	Y	13817		MakeDateTime([WOCDT],[OCUPDT])	
